Date, Raid, Value, Attendee
07/23/20, BWL, 1600.00, Arthalter
07/23/20, BWL, 1600.00, Asteri
07/23/20, BWL, 1600.00, Britney
07/23/20, BWL, 1600.00, Cuckinducks
07/23/20, BWL, 1600.00, Dontqqme
07/23/20, BWL, 1600.00, Egob
07/23/20, BWL, 1600.00, Helservent
07/23/20, BWL, 1600.00, Hokei
07/23/20, BWL, 1600.00, Hooked
07/23/20, BWL, 1600.00, Joeyson
07/23/20, BWL, 1600.00, Likalize
07/23/20, BWL, 1600.00, Manazu
07/23/20, BWL, 1600.00, Manitou
07/23/20, BWL, 1600.00, momofhatred
07/23/20, BWL, 1600.00, Moncholy
07/23/20, BWL, 1600.00, offbalance
07/23/20, BWL, 1600.00, Profblix
07/23/20, BWL, 1600.00, Quack
07/23/20, BWL, 1600.00, Queekadin
07/23/20, BWL, 1600.00, Realfriendz
07/23/20, BWL, 1600.00, Rivella
07/23/20, BWL, 1600.00, Seastar
07/23/20, BWL, 1600.00, Sigok
07/23/20, BWL, 1600.00, Smexyropman
07/23/20, BWL, 1600.00, Sokka
07/23/20, BWL, 1600.00, Superb
07/23/20, BWL, 1600.00, Swordfish
07/23/20, BWL, 1600.00, Targle
07/23/20, BWL, 1600.00, Timecrisis
07/23/20, BWL, 1600.00, Treziques
07/23/20, BWL, 1600.00, Utu
07/23/20, BWL, 1600.00, Vashii
07/23/20, BWL, 1600.00, Wetspells
07/23/20, BWL, 1600.00, Zappem
07/23/20, BWL, 1600.00, Majicman
07/25/20, BWL, 1600.00, Acadia
07/25/20, BWL, 1600.00, Ambicatus
07/25/20, BWL, 1600.00, Arghkettnaad
07/25/20, BWL, 1600.00, Arivas
07/25/20, BWL, 1600.00, Ascindia
07/25/20, BWL, 1600.00, Astranis
07/25/20, BWL, 1600.00, Babybucket
07/25/20, BWL, 1600.00, BigBanana
07/25/20, BWL, 1600.00, Bossmagi
07/25/20, BWL, 1600.00, Corcho
07/25/20, BWL, 1600.00, Cornpops
07/25/20, BWL, 1600.00, Dotterama
07/25/20, BWL, 1600.00, Eno
07/25/20, BWL, 1600.00, Excellent
07/25/20, BWL, 1600.00, Garrius
07/25/20, BWL, 1600.00, Groundnpound
07/25/20, BWL, 1600.00, Hamerhand
07/25/20, BWL, 1600.00, Heyman
07/25/20, BWL, 1600.00, Hokee
07/25/20, BWL, 1600.00, IROC
07/25/20, BWL, 1600.00, Kiteme
07/25/20, BWL, 1600.00, Maev
07/25/20, BWL, 1600.00, Mariahcarry
07/25/20, BWL, 1600.00, Mcdoobler
07/25/20, BWL, 1600.00, Moncha
07/25/20, BWL, 1600.00, Morhion
07/25/20, BWL, 1600.00, Noblewarlord
07/25/20, BWL, 1600.00, Nocturama
07/25/20, BWL, 1600.00, Piggret
07/25/20, BWL, 1600.00, Pintang
07/25/20, BWL, 1600.00, Poulz
07/25/20, BWL, 1600.00, Ragerv
07/25/20, BWL, 1600.00, Ragnaros
07/25/20, BWL, 1600.00, Scottieb
07/25/20, BWL, 1600.00, Scrapper
07/25/20, BWL, 1600.00, Stonemove
07/25/20, BWL, 1600.00, Switter
07/25/20, BWL, 1600.00, Tessberra
07/25/20, BWL, 1600.00, Wizzonu
07/25/20, BWL, 1600.00, Jaklar
07/25/20, BWL, 1600.00, Talauré
07/25/20, BWL, 1600.00, Schmid
07/25/20, MC, 1000.00, Ambicatus
07/25/20, MC, 1000.00, Arghkettnaad
07/25/20, MC, 1000.00, Arivas
07/25/20, MC, 1000.00, Ascindia
07/25/20, MC, 1000.00, Astranis
07/25/20, MC, 1000.00, BigBanana
07/25/20, MC, 1000.00, Bossmagi
07/25/20, MC, 1000.00, Catstevens
07/25/20, MC, 1000.00, Cornpops
07/25/20, MC, 1000.00, Cuckinducks
07/25/20, MC, 1000.00, Dotterama
07/25/20, MC, 1000.00, Eno
07/25/20, MC, 1000.00, Excellent
07/25/20, MC, 1000.00, Garrius
07/25/20, MC, 1000.00, Groundnpound
07/25/20, MC, 1000.00, Hamerhand
07/25/20, MC, 1000.00, Heyman
07/25/20, MC, 1000.00, Hokee
07/25/20, MC, 1000.00, IROC
