Date, Buyer, Name, Raid, Value
07/23/20, Seastar, Dragonstalker's Bracers, BWL, 1000.00
07/23/20, pug, Nemesis Bracers, BWL, 0.00
07/23/20, disenchanted, Gloves of Rapid Evolution, BWL, 0.00
07/23/20, bank, Elementium Ore, BWL, 0.00
07/23/20, disenchanted, Pendant of the Fallen Dragon, BWL, 0.00
07/23/20, momofhatred, Belt of Transcendence, BWL, 1000.00
07/23/20, disenchanted, Nemesis Belt, BWL, 0.00
07/23/20, Profblix, Bracers of Arcane Accuracy, BWL, 2000.00
07/23/20, Likalize, Bloodfang Boots, BWL, 1000.00
07/23/20, Helservent, Nemesis Boots, BWL, 1000.00
07/23/20, bank, Elementium Ore, BWL, 0.00
07/23/20, Helservent, Shadow Wing Focus Staff, BWL, 1000.00
07/23/20, Timecrisis, Claw of the Black Drake, BWL, 2000.00
07/23/20, bank, Elementium Ore, BWL, 0.00
07/23/20, Swordfish, Doom's Edge, BWL, 4000.00
07/23/20, Quack, Essence Gatherer, BWL, 2000.00
07/23/20, bank, Elementium Ore, BWL, 0.00
07/23/20, Zappem, Ring of Blackrock, BWL, 500.00
07/23/20, Cuckinducks, Malfurion's Blessed Bulwark, BWL, 2500.00
07/23/20, Queekadin, Judgement Gauntlets, BWL, 1000.00
07/23/20, Treziques, Emberweave Leggings, BWL, 313.00
07/23/20, Joeyson, Ashjre'thul, Crossbow of Smiting, BWL, 8000.00
07/23/20, Superb, Empowered Leggings, BWL, 5000.00
07/23/20, pug, Nemesis Spaulders, BWL, 0.00
07/23/20, Sigok, Bloodfang Spaulders, BWL, 1000.00
07/23/20, Profblix, Cloak of the Brood Lord, BWL, 2000.00
07/23/20, Joeyson, Dragonstalker's Breastplate, BWL, 2500.00
07/23/20, Britney, Bloodfang Chestpiece, BWL, 2500.00
07/23/20, Cuckinducks, Head of Nefarian, BWL, 1875.00
07/23/20, Rivella, Ashkandi, Greatsword of the Brotherhood, BWL, 4000.00
07/25/20, Moncha, The Untamed Blade, BWL, 4000.00
07/25/20, disenchanted, Netherwind Bindings, BWL, 1000.00
07/25/20, Mariahcarry, Netherwind Bindings, BWL, 1000.00
07/25/20, disenchanted, Dragonstalker's Belt, BWL, 1000.00
07/25/20, disenchanted, Pendant of the Fallen Dragon, BWL, 500.00
07/25/20, disenchanted, Waistband of Wrath, BWL, 1000.00
07/25/20, disenchanted, Nemesis Boots, BWL, 1000.00
07/25/20, Mariahcarry, Netherwind Boots, BWL, 1000.00
07/25/20, Mariahcarry, Bracers of Arcane Accuracy, BWL, 2000.00
07/25/20, disenchanted, Band of Dark Dominion, BWL, 1000.00
07/25/20, Pintang, Judgement Gauntlets, BWL, 250.00
07/25/20, Ambicatus, Cloak of Firemaw, BWL, 1500.00
07/25/20, bank, Elementium Ore, BWL, 0.00
07/25/20, bank, Elementium Ore, BWL, 0.00
07/25/20, disenchanted, Stormrage Handguards, BWL, 1000.00
07/25/20, disenchanted, Stormrage Handguards, BWL, 1000.00
07/25/20, disenchanted, Aegis of Preservation, BWL, 375.00
07/25/20, disenchanted, Taut Dragonhide Shoulderpads, BWL, 2000.00
07/25/20, disenchanted, Netherwind Mantle, BWL, 1000.00
07/25/20, Babybucket, Elementium Threaded Cloak, BWL, 375.00
07/25/20, disenchanted, Dragonstalker's Spaulders, BWL, 1000.00
07/25/20, disenchanted, Dragonstalker's Breastplate, BWL, 0.00
07/25/20, disenchanted, Nemesis Robes, BWL, 0.00
07/25/20, Tessberra, Cloak of the Brood Lord, BWL, 2000.00
07/25/20, disenchanted, Therazane's Link, BWL, 0.00
07/25/20, Hokee, Head of Nefarian, BWL, 1875.00
07/25/20, Ascindia, Shroud of Pure Thought, BWL, 250.00
07/25/20, Ascindia, Choker of Enlightenment, MC , 125.00
07/25/20, Smexyropman, Wristguards of Stability, MC , 1000.00
07/25/20, disenchanted, Magma Tempered Boots, MC , 500.00
07/25/20, disenchanted, Felheart Pants, MC , 625.00
07/25/20, disenchanted, Lawbringer Legplates, MC , 625.00
07/25/20, bank, Felheart Belt, MC , 500.00
07/25/20, Noblewarlord, Nightslayer Gloves, MC , 500.00
07/25/20, disenchanted, Sabatons of Might, MC , 500.00
07/25/20, disenchanted, Circlet of Prophecy, MC , 625.00
07/25/20, Cuckinducks, Drillborer Disk, MC , 562.00
07/25/20, disenchanted, Aurastone Hammer, MC , 1000.00
07/25/20, disenchanted, Fire Runed Grimoire, MC , 250.00
07/25/20, disenchanted, Seal of the Archmagus, MC , 0.00
07/25/20, disenchanted, Boots of Prophecy, MC , 500.00
07/25/20, disenchanted, Arcanist Gloves, MC , 500.00
07/25/20, bank, Arcanist Belt, MC , 500.00
07/25/20, bank, Nightslayer Belt, MC , 500.00
07/25/20, disenchanted, Giantstalker's Epaulets, MC , 500.00
07/25/20, disenchanted, Pauldrons of Might, MC , 500.00
07/25/20, disenchanted, Felheart Robes, MC , 625.00
07/25/20, bank, Sulfuron Ingot, MC , 0.00
07/25/20, disenchanted, Ancient Petrified Leaf, MC , 0.00
07/25/20, Queekadin, Fireproof Cloak, MC , 125.00
07/25/20, disenchanted, Sash of Whispered Secrets, MC , 500.00
07/25/20, disenchanted, Band of Sulfuras, MC , 0.00
07/25/20, disenchanted, Malistar's Defender, MC , 0.00
07/25/20, Groundnpound, Judgement Legplates, MC , 468.00
07/25/20, IROC, Spinal Reaper, MC , 250.00
07/25/20, disenchanted, Dragonstalker's Legguards, MC , 0.00
07/30/20, Queekadin, Judgement Bindings, BWL, 1000.00
07/30/20, Utu, Netherwind Bindings, BWL, 1000.00
07/30/20, Wetspells, Netherwind Belt, BWL, 1000.00
07/30/20, disenchanted, Dragonstalker's Belt, BWL, 1000.00
07/30/20, Utu, Mind Quickening Gem, BWL, 3000.00
07/30/20, Queekadin, Judgement Sabatons, BWL, 1000.00
07/30/20, momofhatred, Boots of Transcendence, BWL, 1000.00
07/30/20, Wetspells, Bracers of Arcane Accuracy, BWL, 2000.00
07/30/20, Sokka, Head of the Broodlord Lashlayer, BWL, 0.00
07/30/20, Groundnpound, Scrolls of Blinding Light, BWL, 375.00
07/30/20, Wetspells, Netherwind Gloves, BWL, 1000.00
07/30/20, bank, Elementium Ore, BWL, 0.00
07/30/20, bank, Elementium Ore, BWL, 0.00
07/30/20, bank, Elementium Ore, BWL, 0.00
07/30/20, bank, Elementium Ore, BWL, 0.00
07/30/20, disenchanted, Interlaced Shadow Jerkin, BWL, 625.00
07/30/20, Rooke, Drake Talon Cleaver, BWL, 250.00
07/30/20, disenchanted, Ebony Flame Gloves, BWL, 2000.00
07/30/20, disenchanted, Herald of Woe, BWL, 125.00
07/30/20, momofhatred, Handguards of Transcendence, BWL, 1000.00
07/30/20, Zappem, Judgement Spaulders, BWL, 1000.00
07/30/20, Jaklar, Chromatically Tempered Sword, BWL, 8000.00
07/30/20, Swordfish, Ashjre'thul, Crossbow of Smiting, BWL, 8000.00
07/30/20, disenchanted, Judgement Spaulders, BWL, 1000.00
07/30/20, Utu, Cloak of the Brood Lord, BWL, 2000.00
07/30/20, Manazu, Head of Nefarian, BWL, 1875.00
07/30/20, Sigok, Bloodfang Chestpiece, BWL, 2500.00
07/30/20, Likalize, Bloodfang Chestpiece, BWL, 2500.00
07/30/20, Hokei, Pure Elementium Band, BWL, 4000.00
07/30/20, Timecrisis, The Untamed Blade, BWL, 1000.00
07/30/20, disenchanted, Felheart Gloves, MC , 0.00
07/30/20, disenchanted, Cenarion Boots, MC , 0.00
07/30/20, Magicjay, Medallion of Steadfast Might, MC , 500.00
07/30/20, disenchanted, Flamewaker Legplates, MC , 0.00
07/30/20, disenchanted, Felheart Pants, MC , 0.00
07/30/20, Arthalter, Sabatons of Might, MC , 125.00
07/30/20, disenchanted, Nightslayer Gloves, MC , 0.00
07/30/20, bank, Nightslayer Belt, MC , 500.00
07/30/20, Arthalter, Quick Strike Ring, MC , 3000.00
07/30/20, disenchanted, Cenarion Helm, MC , 0.00
07/30/20, Sigok, Gutgore Ripper, MC , 1500.00
07/30/20, Manithree, Fire Runed Grimoire, MC , 250.00
07/30/20, Magicjay, Seal of the Archmagus, MC , 125.00
07/30/20, bank, Bracers of Might, MC , 0.00
07/30/20, disenchanted, Arcanist Gloves, MC , 0.00
07/30/20, Dontqqme, Nightslayer Boots, MC , 500.00
07/30/20, bank, Bracers of Might, MC , 0.00
07/30/20, Manithree, Mantle of Prophecy, MC , 500.00
07/30/20, disenchanted, Nightslayer Shoulder Pads, MC , 0.00
07/30/20, Queekadin, Lawbringer Chestguard, MC , 125.00
07/30/20, Dontqqme, Nightslayer Chestpiece, MC , 500.00
07/30/20, bank, Sulfuron Ingot, MC , 0.00
07/30/20, Magicjay, Fire Runed Grimoire, MC , 250.00
07/30/20, Magicjay, Wild Growth Spaulders, MC , 2000.00
07/30/20, Hokei, Fireguard Shoulders, MC , 125.00
07/30/20, disenchanted, Ancient Petrified Leaf, MC , 0.00
07/30/20, bank, Giantstalker's Bracers, MC , 0.00
07/30/20, bank, Felheart Belt, MC , 0.00
07/30/20, bank, Giantstalker's Bracers, MC , 0.00
07/30/20, disenchanted, Nemesis Leggings, MC , 0.00
07/30/20, Groundnpound, Essence of the Pure Flame, MC , 93.75
07/30/20, Realfriendz, Band of Accuria, MC , 3000.00
07/30/20, Joeyson, Dragonstalker's Legguards, MC , 1875.00
08/01/20, disenchanted, Bracelets of Wrath, BWL, 1000.00
08/01/20, Astranis, Arcane Infused Gem, BWL, 375.00
08/01/20, disenchanted, Judgement Bindings, BWL, 1000.00
08/01/20, disenchanted, Pendant of the Fallen Dragon, BWL, 500.00
08/01/20, Mcdoobler, Belt of Transcendence, BWL, 1000.00
08/01/20, disenchanted, Nemesis Belt, BWL, 1000.00
08/01/20, Hamerhand, Lifegiving Gem, BWL, 3000.00
08/01/20, Tessberra, Boots of Transcendence, BWL, 250.00
08/01/20, disenchanted, Nemesis Boots, BWL, 1000.00
08/01/20, bank, Elementium Ore, BWL, 0.00
08/01/20, bank, Elementium Ore, BWL, 0.00
08/01/20, Mcdoobler, Head of the Broodlord Lashlayer, BWL, 0.00
08/01/20, Maulpaw, Stormrage Handguards, BWL, 1000.00
08/01/20, Heyman, Black Ash Robe, BWL, 0.00
08/01/20, Hamerhand, Draconic Avenger, BWL, 125.00
08/01/20, bank, Elementium Ore, BWL, 0.00
08/01/20, bank, Elementium Ore, BWL, 0.00
08/01/20, bank, Elementium Ore, BWL, 0.00
08/01/20, disenchanted, Elementium Ore, BWL, 0.00
08/01/20, Scrapper, Dragonbreath Hand Cannon, BWL, 1500.00
08/01/20, Morhion, Gauntlets of Wrath, BWL, 250.00
08/01/20, disenchanted, Dragon's Touch, BWL, 250.00
08/01/20, Arivas, Drake Talon Pauldrons, BWL, 2000.00
08/01/20, disenchanted, Dragonstalker's Spaulders, BWL, 1000.00
08/01/20, Moncha, Pauldrons of Wrath, BWL, 250.00
08/01/20, disenchanted, Elementium Threaded Cloak, BWL, 1500.00
08/01/20, Morhion, Chromatic Boots, BWL, 4000.00
08/01/20, disenchanted, Breastplate of Wrath, BWL, 2500.00
08/01/20, Tessberra, Head of Nefarian, BWL, 1875.00
08/01/20, Noblewarlord, Bloodfang Chestpiece, BWL, 2500.00
08/01/20, Poulz, Pure Elementium Band, BWL, 4000.00
08/01/20, Tessberra, Lok'amir il Romathis, BWL, 8000.00
08/01/20, Atake, Girdle of Prophecy, MC , 500.00
08/01/20, Cuckinducks, Gauntlets of Might, MC , 125.00
08/01/20, Imadude, Arcanist Boots, MC , 500.00
08/01/20, disenchanted, Giantstalker's Leggings, MC , 625.00
08/01/20, Imadude, Arcanist Leggings, MC , 625.00
08/01/20, Noblewarlord, Aged Core Leather Gloves, MC , 1500.00
08/01/20, disenchanted, Sorcerous Dagger, MC , 250.00
08/01/20, Poulz, Lawbringer Gauntlets, MC , 125.00
08/01/20, bank, Felheart Bracers, MC , 500.00
08/01/20, bank, Belt of Might, MC , 500.00
08/01/20, Atake, Circlet of Prophecy, MC , 625.00
08/01/20, disenchanted, Giantstalker's Helmet, MC , 625.00
08/01/20, disenchanted, Magma Tempered Boots, MC , 500.00
08/01/20, bank, Giantstalker's Bracers, MC , 500.00
08/01/20, Imadude, Arcanist Mantle, MC , 500.00
08/01/20, disenchanted, Lawbringer Spaulders, MC , 500.00
08/01/20, Maulpaw, Cenarion Gloves, MC , 500.00
08/01/20, Novemina, Boots of Prophecy, MC , 500.00
08/01/20, Arivas, Pauldrons of Might, MC , 125.00
08/01/20, bank, Sulfuron Ingot, MC , 0.00
08/01/20, disenchanted, Cenarion Vestments, MC , 625.00
08/01/20, Imadude, Staff of Dominance, MC , 1000.00
08/01/20, disenchanted, Nightslayer Chestpiece, MC , 625.00
08/01/20, Helservent, Fireproof Cloak, MC , 125.00
08/01/20, Atake, The Eye of Divinity, MC , 500.00
08/01/20, disenchanted, Core Forged Greaves, MC , 125.00
08/01/20, Maulpaw, Stormrage Legguards, MC , 1875.00
08/01/20, disenchanted, Dragonstalker's Legguards, MC , 1875.00
08/01/20, BigBanana, Perdition's Blade, MC , 6000.00
08/01/20, Arivas, Onslaught Girdle, MC , 4000.00
08/01/20, disenchanted, Shadowstrike, MC , 0.00
08/06/20, Britney, Bloodfang Bracers, BWL, 1000.00
08/06/20, Dreadpirate, The Untamed Blade, BWL, 1000.00
08/06/20, disenchanted, Stormrage Belt, BWL, 1000.00
08/06/20, Sigok, Bloodfang Belt, BWL, 1000.00
08/06/20, Pathefinder, Rune of Metamorphosis, BWL, 375.00
08/06/20, Ryzeup, Sabatons of Wrath, BWL, 250.00
08/06/20, disenchanted, Sabatons of Wrath, BWL, 1000.00
08/06/20, Zeno, Bracers of Arcane Accuracy, BWL, 2000.00
08/06/20, disenchanted, Head of the Broodlord Lashlayer, BWL, 0.00
08/06/20, Cuckinducks, Doom's Edge, BWL, 4000.00
08/06/20, bank, Elementium Ore, BWL, 0.00
08/06/20, Bundaa, Band of Dark Dominion, BWL, 1000.00
08/06/20, Bundaa, Nemesis Gloves, BWL, 1000.00
08/06/20, Libbi, Legguards of the Fallen Crusader, BWL, 3750.00
08/06/20, disenchanted, Dragon Finger of Healing, BWL, 0.00
08/06/20, disenchanted, Netherwind Gloves, BWL, 1000.00
08/06/20, Manazu, Dragonbreath Hand Cannon, BWL, 1500.00
08/06/20, Groundnpound, Styleen's Impeding Scarab, BWL, 1125.00
08/06/20, disenchanted, Gauntlets of Wrath, BWL, 1000.00
08/06/20, disenchanted, Pauldrons of Transcendence, BWL, 1000.00
08/06/20, Maev, Judgement Spaulders, BWL, 250.00
08/06/20, Dreadpirate, Girdle of the Fallen Crusader, BWL, 62.50
08/06/20, Tynothy, Bloodfang Chestpiece, BWL, 2500.00
08/06/20, Corcho, Pure Elementium Band, BWL, 4000.00
08/06/20, Joeyson, Prestor's Talisman of Connivery, BWL, 4000.00
08/06/20, disenchanted, Dragonstalker's Breastplate, BWL, 2500.00
08/06/20, Ceneda, Head of Nefarian, BWL, 1875.00
08/06/20, Chobbin, Bindings of Transcendence, BWL, 1000.00
08/06/20, Helservent, Angelista's Grasp, BWL, 1000.00
08/06/20, bank, Giantstalker's Bracers, MC , 500.00
08/06/20, Bundaa, Choker of Enlightenment, MC , 500.00
08/06/20, Dreadpirate, Robe of Volatile Power, MC , 2500.00
08/06/20, Steelpanther, Cenarion Leggings, MC , 625.00
08/06/20, Sigok, Nightslayer Pants, MC , 625.00
08/06/20, disenchanted, Eskhandar's Right Claw, MC , 1000.00
08/06/20, Ceneda, Nightslayer Gloves, MC , 500.00
08/06/20, disenchanted, Sabatons of Might, MC , 500.00
08/06/20, Dontqqme, Nightslayer Cover, MC , 625.00
08/06/20, Manazu, Drillborer Disk, MC , 562.50
08/06/20, Jaklar, Brutality Blade, MC , 4000.00
08/06/20, Sokka, Bindings of the Windseeker, MC , 10000.00
08/06/20, disenchanted, Felheart Shoulder Pads, MC , 500.00
08/06/20, disenchanted, Cenarion Spaulders, MC , 500.00
08/06/20, disenchanted, Cenarion Gloves, MC , 500.00
08/06/20, Hokei, Heavy Dark Iron Ring, MC , 250.00
08/06/20, disenchanted, Shadowstrike, MC , 10000.00
08/06/20, disenchanted, Pauldrons of Might, MC , 500.00
08/06/20, Ceneda, Blastershot Launcher, MC , 2000.00
08/06/20, disenchanted, Giantstalker's Breastplate, MC , 625.00
08/06/20, disenchanted, Robes of Prophecy, MC , 625.00
08/06/20, Novemina, The Eye of Divinity, MC , 500.00
08/06/20, Ryzeup, Fireguard Shoulders, MC , 125.00
08/06/20, Dreadpirate, Core Forged Greaves, MC , 125.00
08/06/20, bank, Giantstalker's Belt, MC , 500.00
08/06/20, disenchanted, Dragonstalker's Legguards, MC , 1875.00
08/06/20, Florbydorbis, Bloodfang Pants, MC , 1875.00
08/06/20, Manazu, Essence of the Pure Flame, MC , 375.00
08/06/20, Magicjay, Malistar's Defender, MC , 750.00
08/08/20, Dantioch, Bindings of Transcendence, BWL, 1000.00
08/08/20, Puzzle, Mantle of the Blackwing Cabal, BWL, 3000.00
08/08/20, disenchanted, Bloodfang Bracers, BWL, 1000.00
08/08/20, Caitylinn, Nemesis Belt, BWL, 1000.00
08/08/20, disenchanted, Stormrage Belt, BWL, 1000.00
08/08/20, disenchanted, Pendant of the Fallen Dragon, BWL, 500.00
08/08/20, disenchanted, Black Brood Pauldrons, BWL, 250.00
08/08/20, disenchanted, Stormrage Boots, BWL, 1000.00
08/08/20, disenchanted, Bloodfang Boots, BWL, 1000.00
08/08/20, Smexyropman, Head of the Broodlord Lashlayer, BWL, 0.00
08/08/20, bank, Elementium Ore, BWL, 0.00
08/08/20, bank, Elementium Ore, BWL, 0.00
08/08/20, disenchanted, Firemaw's Clutch, BWL, 1000.00
08/08/20, disenchanted, Bloodfang Gloves, BWL, 1000.00
08/08/20, disenchanted, Band of Dark Dominion, BWL, 1000.00
08/08/20, bank, Elementium Ore, BWL, 0.00
08/08/20, bank, Elementium Ore, BWL, 0.00
08/08/20, disenchanted, Band of Dark Dominion, BWL, 1000.00
08/08/20, disenchanted, Draconic Avenger, BWL, 500.00
08/08/20, disenchanted, Stormrage Handguards, BWL, 1000.00
08/08/20, Targle, Emberweave Leggings, BWL, 313.00
08/08/20, disenchanted, Bloodfang Gloves, BWL, 1000.00
08/08/20, disenchanted, Aegis of Preservation, BWL, 375.00
08/08/20, Ascindia, Shimmering Geta, BWL, 62.00
08/08/20, Nocturama, Empowered Leggings, BWL, 5000.00
08/08/20, Ragnaros, Pauldrons of Wrath, BWL, 250.00
08/08/20, disenchanted, Netherwind Mantle, BWL, 1000.00
08/08/20, BigBanana, Breastplate of Wrath, BWL, 625.00
08/08/20, disenchanted, Judgement Breastplate, BWL, 2500.00
08/08/20, Poulz, Head of Nefarian, BWL, 469.00
08/08/20, Scrapper, Archimtiros' Ring of Reckoning, BWL, 1500.00
08/08/20, disenchanted, Black Dragonscale, BWL, 0.00
